SL. No.,iso,Language_Name,Uninverted_Name,Autonym,Alternate_Names,Country_Code,Country_Namee,Is_Primary,is_Indigenous,Is_Established,All_Users,L1_Users,L2_Users,All_Full,L1_Full,L2_Full,Monolingual,Ethnic,Population_Year,Population_Total,Location,Subdivision,Latitude,Longitude,EGIDS,EGIDS_Label,Official_Recognition,LWC_Support,Classification,Dialect_Names,Relationships,Typology,Language_Use,Language_Contact,Use_as_L2,Literacy,Education,Literature,Revitalization,Language_Planning_Org,Scripts,General_Remarks,Religion
409,mjt,Sauria Paharia,Sauria Paharia,सौरिया पहाड़िया‎ (sauriya pahaadiya),"Malatri, Maler, Malti, Malto, Maltu, Rajmahali, Râjmahal, Sawriya Malto",IN,India,T,T,T,235000,235000,, ,"235,000 in India (2011 census).",,,,2011,"2,42,000","Bihar state: Bhagalpur; Jharkhand state: Godda and Sahibganj districts, Rajmahal hills; Pakaur district, Litipara sub-district; West Bengal state: Murshidabad district.",Jharkhand,24.977,87.4892,5,5* (Developing),,,"Dravidian, Northern","Sahibganj, Godda, Hiranpur, Litipara (Chatgam)",Some intelligibility of Kumarbhag Paharia [kmj]. Lexical similarity: 80% with Kumarbhag Paharia [kmj].,,,Also use English [eng].,,Literacy rate in L2: 7%. Literacy classes.,,Newspapers. Periodicals. Radio. Grammar. Texts. NT: 1999.,,,Bengali (Bangla) script [Beng]. Devanagari script [Deva].,Part of Malto ethnic group.,"Traditional religion, Christian."
410,std,Sentinel,Sentinel,,Sentinelese,IN,India,T,T,T,250,250,,,250 (2018 J. Chau).,,,,2018,,"Andaman and Nicobar Islands union territory: Sentinel island, west of South Andaman island.",Andaman and Nicobar Islands,11.5517,92.2552,6a,6a* (Vigorous),,,"Andamanese, South Andamanese",,Reportedly similar to Öñge [oon].,,,,,,,,,,Unwritten [Qaax].,"By law, outsiders are not allowed to go onto the island where all the Sentinelese live. It may be the only group surviving today without contact with any other group or community.",Traditional religion.
411,shn,Shan,Shan,လိၵ်ႈတႆး‎ (Lik Tai),,IN,India,F,F,F,1400,1400,,,"1,400 in India (2024 Joshua Project), based on ethnicity.",,,,2024,"46,87,700",,,,,xUn,Unestablished,,,"Kra-Dai, Kam-Tai, Tai, Southwestern",,,,,,,,,Bible: 1892–2002.,,,Myanmar (Burmese) script [Mymr].,,
412,swv,Shekhawati,Shekhawati,शेखावाटी‎ (Shekhaavaatee),Shekhawati-Marwari,IN,India,T,T,T,3000000,3000000,,,"3,000,000 (2002 L. Gusain).",,,,2002,,"Haryana state: Mahendragarh district; Rajasthan state: Churu, Jhunjhunu, and Sikar districts.",Rajasthan,28.0918,75.1294,5,5* (Developing),,,"Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Rajasthani, Marwari","Jhunjhunu-Churu, Sikar","78% comprehension of Marwari [rwr], 72% intelligibility of Dhundari [dhd]. Lexical similarity: 74%–77% between dialects; 51%–68% with Marwari [rwr], 58%–80% with Merwari [wry], 45%–69% with Godwari [gdx], 57%–66% with Mewari [mtr], 66%–73% with Dhundari [dhd], 58%–66% with Haroti [hoj], 57%–70% with Mewati [wtm], 69%–76% with Bagri [gda], 61%–73% with Haryanvi [bgc], 55%–69% with Hindi [hin].",,"Vigorous. Home, village, market, religion. Positive attitudes.","Also use English [eng]. Also use Hindi [hin], with widespread bilingualism, but the educated are more proficient.",,,,NT: 2017.,,,Devanagari script [Deva].,,Hindu.
413,shl,Shendu,Shendu,,"Khieng, Khyen, Sandu, Shandu",IN,India,T,T,T,,,,,,,,,,,Mizoram state.,Mizoram,22.1133,92.6354,6a,6a* (Vigorous),,,"Sino-Tibetan, Tibeto-Burman, Kuki-Chin, Peripheral, Southern",,,,,,,,,,,,,,
414,sdp,Sherdukpen,Sherdukpen,,"Mey, Ngnok, Shertukpen",IN,India,T,T,T,5000,5000,,,"5,000 (2019).",,,,2019,,"Arunachal Pradesh state: West Kameng district, Rupa (Kupa), Shergaon, and Thungrao villages; Maharashtra state: Jigaon; Assam state.",Arunachal Pradesh,27.2102,92.3704,6a,6a (Vigorous),,,"Sino-Tibetan, Tibeto-Burman, Central Tibeto-Burman, Kho-Bwa","Rupa, Shergaon",Lexical similarity: 49%–60% with Sartang. Burling (2003) groups it with Puroik [suv] and Bugun [bgg] and possibly also with Lish [lsh] and Sartang [onp].,,"Vigorous. Home, village, religion. Used by all. Positive attitudes.",Also use Hindi [hin]. Also use Tawang Monpa [twm].,Used as L2 by Bugun [bgg].,"Literacy rate in L2: 15% (20% male, 7% female) (Muanthanga 1998).",,,,,Unwritten [Qaax].,Separated from the Sartang by war.,"Buddhist, traditional religion."
415,xsr,Sherpa,Sherpa,"शेर्वी तम्ङे‎ (sherwi tamnge), ཤར་པའི་སྐད་ཡིག‎ (shar pa’i skad yig)","Serwa, Sharpa, Sharpa Bhotia, Sherwi tamnye, Xarba, Xiaerba",IN,India,F,T,T,16000,16000,,,"16,000 in India (2011 census).",,,,2011,"144,440 (as L1: 135,000; as L2: 9,440)",West Bengal state: Darjeeling district; Arunachal Pradesh and Sikkim states.,Sikkim,,,6b,6b* (Threatened),,,"Sino-Tibetan, Tibeto-Burman, Western Tibeto-Burman, Bodish, Central Bodish, Central, gTsang",,,"SOV; postpositions; noun head initial; no noun classes or genders; content q-word in situ; 1 prefix, up to 3 suffixes; clause constituents indicated by case-marking; verbal affixation marks person; split ergativity; tense and aspect; no passive forms; tonal; 31 consonant and 6 vowel phonemes (also 6 diphthongs).",,Many also use Nepali [npi]. Also use English [eng].,,,,Literature. Newspapers. Radio. Dictionary. Texts. NT: 2014.,,,Devanagari script [Deva]. Tibetan script [Tibt].,"‘Sharpa’, easterner, so the term used in different countries may not always refer to Sherpa.",Buddhist.
416,scl,Shina,Shina,شینا‎ (Shina),"Shinaki, Sina",IN,India,F,T,T,32200,32200,,,"32,200 in India (2011 census).",,,,2011,"1,49,200","Jammu and Kashmir state: Bandipore and Kargil districts, Dras and Kishenganga valleys, Gurais area.",Jammu and Kashmir,,,6a,6a* (Vigorous),,,"Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Northwestern, Dardic, Shina","Drasi, Gurezi",,,,"Many also use Purig [prx], especially in Dras Valley though there are villages where only Shina is spoken. Also use English [eng].",Used as L2 by Balti [bft].,,,Literature. Grammar. Bible portions: 1929.,,,"Arabic script, Naskh variant [Arab]. Arabic script, Nastaliq variant [Aran], primary usage.","Open to education and jobs outside the area. Distinct from Brokskat [bkk], but Brokskat is also used semiofficially to refer to a highly divergent variety of Shina spoken by Buddhists.","Buddhist, Muslim, traditional religion."
417,sle,Sholaga,Sholaga,,"Kadu Sholigar, Sholanayika, Sholiga, Sholigar, Sikiligar, Solaga, Solagaru mattu, Solanayakkans, Solega, Soliga, Soligar",IN,India,T,T,T,24000,24000,,,"24,000 (2006 IMB).",,,,2006,,"Karnataka state: Mysore district, Biligiri Rangana hills; Tamil Nadu state.",Karnataka,12.2295,76.3402,5,5* (Developing),,,"Dravidian, Southern, Tamil-Kannada, Tamil-Kodagu, Tamil-Malayalam, Tamil",,Lexical similarity: 65% with Kannada [kan].,,,Also use English [eng].,,Literacy rate in L2: 31% for Tamil Nadu.,,NT: 2022.,,,Tamil script [Taml].,A Scheduled Tribe. May be in the Kannada group.,"Hindu, traditional religion."
418,sii,Shom Peng,Shom Peng,,"Shobang, Shom Pen, Shompen, Shompeng",IN,India,T,T,T,400,400,,,400 (2004).,,Mainly monolingual.,,2004,,Andaman and Nicobar Islands state: interior Great Nicobar island.,Andaman and Nicobar Islands,6.9259,93.8355,6a,6a* (Vigorous),,,"Austro-Asiatic, Mon-Khmer, Nicobar, Shom Peng",,Distinct from other Nicobarese languages.,,,,,,,,,,Unwritten [Qaax].,Seminomadic.,Traditional religion.
419,scu,Shumcho,Shumcho,,"Central Kinnauri, Shumcu, Sumcho, Sumchu, Sumtsu, Thebarskad, Thebor, Thebör Skadd",IN,India,T,T,T,2170,2170,,,"2,170 (1998).",,,,1998,,"Himachal Pradesh state: Kinnaur district, Puh sub-district, Kanam, Labrang, Shyaso, Spilo, Rushkaling, and Taling villages.",Himachal Pradesh,31.7862,78.4378,6b,6b* (Threatened),,,"Sino-Tibetan, Tibeto-Burman, Western Tibeto-Burman, Bodish, West Himalayish, Kinauri",,"Lexical similarity: 70% with Jangshung [jna], 67% with Sunam [ssk], 45% with Pahari Kinnauri [kjo], 43% with Chitkuli Kinnauri [cik].",,,,,,,,,,Unwritten [Qaax].,,"Traditional religion, Buddhist, Hindu."
420,sip,Sikkimese,Sikkimese,འབྲས་ལྗོངས་སྐད‎ (’bras ljongs skad),"Bhutia, Dandzongka, Danjongka, Danyouka, Denjong, Denjong-skad, Denjongke, Denjongkha, Denjongkä, Denjongpa, Denjonka, Denjonke, Denzong Ke, Denzongke, Denzongpe Ke, Denzongpeke, Dranjoke, Dranjongke, Drendzongké, Lachengpa, Lachungpa, Lhoke, Sikami, Sikkim Bhotia, Sikkim Bhutia, Sikkimese Bhutia",IN,India,T,T,T,25000,25000,,,"25,000 (2019).",,Some elderly people in some rural communities may be monolingual (Yliniemi 2019).,"48,800 (Yliniemi 2019).",2019,,Sikkim state: all districts; West Bengal state: Darjeeling.,Sikkim,27.7427,88.443,6b,6b (Threatened),,,"Sino-Tibetan, Tibeto-Burman, Western Tibeto-Burman, Bodish, Central Bodish, Central, Southern","Tashiding, Lachung","Partially intelligible of Dzongkha [dzo] of Bhutan. Lexical similarity: 65% with Dzongkha [dzo] of Bhutan, 42% with Tibetan [bod].",,"Some young people, all adults. Positive attitudes.","Most also use Nepali [npi], for education and trade (Yliniemi 2019). Some also use Central Tibetan [bod], which is viewed as appropriate for religion. Also use English [eng] (Yliniemi 2019). Also use Hindi [hin] (Yliniemi 2019).",,Literacy rate in L2: 68% for Bhutia in Sikkim (2001 census).,,Grammar.,,,Tibetan script [Tibt].,,Buddhist.
421,smt,Simte,Simte,Simte,,IN,India,T,T,T,10200,10200,,,"10,200 (2001 census).",,,,2001,,"Manipur state: Churachandpur district, Dumsao, Khungung, Leikangpai, Lungthul, Maokot, Mingjang, Moijin, Monjon, New Bazar, Pamjal, Sasinoujang, Shumtuk, Simveng, Singhat, Suangdai, Suangpuhmun, Tallian, Thanlon, Tubuong, and Zouthang.",Manipur,24.526,93.2283,5,5* (Developing),,,"Sino-Tibetan, Tibeto-Burman, Kuki-Chin, Peripheral, Northern",,,,,Also use English [eng].,,Literacy rate in L2: 67% (2001 census).,,Bible: 1992.,,,Latin script [Latn].,,Christian.
422,snd,Sindhi,Sindhi,سنڌي‎ (Sindhi),,IN,India,F,T,T,2021000,1740000,281000,"2,021,000 in India, all users.","1,740,000 in India (2011 census).","281,000 (2011 census).",,########,2011,"36,890,560 (as L1: 36,606,500; as L2: 284,060)","Andhra Pradesh, Bihar, Delhi, Gujarat, Madhya Pradesh, Maharashtra, Odisha, Rajasthan, Tamil Nadu, and Uttar Pradesh states.",Gujarat,,,7,7 (Shifting),"Statutory language of provincial identity in Rajasthan State (1950, Constitution, Articles 345–347), Schedule VIII addition, 1961.",,"Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Northwestern, Sindhi","Bhatia, Jadeji, Kayasthi, Lari, Lasi, Thareli, Thari, Viccholi, Visholi",,"SOV; noun head final; gender (masculine/feminine); case-marking (8 cases); verb affixes mark person, number, gender of subject; passives; tense and aspect; 24 consonant and 15 vowel phonemes.",Many Sindhi do not learn their traditional ethnic language. Adults only. Mainly women and older adult speakers.,Shifting to Hindi [hin]. Also use English [eng].,,,Taught in primary and secondary schools through grade 5 and as subject thereafter in Rajasthan state.,Literature. Radio. Dictionary. Grammar. Bible: 1954.,,,"Arabic script, Naskh variant [Arab], primary usage. Devanagari script [Deva], used in India. Gurmukhi script [Guru], used in India. Khojki script [Khoj].",Official language of the Sindhi community.,Hindu.
423,sgp,Singpho,Singpho,Singpho,"Jingphaw, Kachin, Sing-Fo",IN,India,T,T,T,2500,2500,,,"2,500 (Morey 2006).",,,,2006,,"Arunachal Pradesh state: Changlang and Lohit districts; Assam state: Dibrugarh and Sibsagar districts; Tinsukia district, Margherita sub-district.",Assam,27.4402,95.9199,6b,6b* (Threatened),,,"Sino-Tibetan, Tibeto-Burman, Sal, Jingppaw-Asakia, Jingphaw",,Lexical similarity: 50% with Jingpho [kac] of Myanmar.,,Home only.,Most also use Assamese [asm]. Also use English [eng].,"Used as L2 by Tangsa Naga [nst], Turung [try].",Literacy rate in L2: Less than 40%.,,Bible portions: 1907.,,,Latin script [Latn].,"Many loans from Khamti [kht]. Kachin refers to a cultural, rather than a linguistic group.","Buddhist, traditional religion."
424,sin,Sinhala,Sinhala,සිංහල‎ (Siṃhāla),,IN,India,F,F,F,5300,5300,,,"5,300 in India (2023 Joshua Project), based on ethnicity.",,,,2023,"20,160,790 (as L1: 16,149,690; as L2: 4,011,100)",,,,,xUn,Unestablished,,,"Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Southern, Sinhalese-Maldivian",,,SOV; postpositions; noun head final; gender (masculine/feminine/neuter); indefinite article suffix; case-marking (5 cases); tense and aspect; causatives; 23 consonants and 13 vowels; non-tonal; distinctive diglossia.,,,,,,Fully developed. Bible: 1823–2018.,,,"Braille script [Brai]. Sinhala script [Sinh], primary usage.",,
425,srx,Sirmauri,Sirmauri,सिरमौरी‎ (Sirmauri),"Himachali, Pahari, Sirmouri, Sirmuri",IN,India,T,T,T,400000,400000,,,"400,000 (2005 SIL).",,,,2005,,"Himachal Pradesh state: Shimla district, southeast section; Sirmaur district.",Himachal Pradesh,30.7449,77.451,5,5* (Developing),,,"Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Pahari, Western Pahari","Dharthi (Giriwari), Giripari","Difficult intelligibility between Dharthi and Giripari; and between Upper Mahasui and Giripar. Dharthi dialect more influenced by Hindi. In south Shimla District, Kiunthali and Sirmauri are used interchangeably. Reportedly a different variety of Sirmauri in Sirmaur District. Lexical similarity: 56%–70% with Dharthi and Giripari, with considerable variation within each dialect; Giripari 67% with Lower Mahasui, 65% with Upper Mahasui, 61% with Jaunsari [jns].",,"Home, village. Positive attitudes.","Also use English [eng]. Also use Hindi [hin], with high proficiency among educated people, and a wide range of proficiency among uneducated people, but older, uneducated women have very limited proficiency.",,Literacy rate in L2: 60% for Sirmaur District (2001 census).,,Newspapers. Radio. TV. Videos. Grammar. NT: 2017.,,,"Devanagari script [Deva]. Takri (Tankri, Takari) script [Takr], special variety used informally (Masica 1991).","Dharthi is spoken in Giriwar area, Giripari in Giripar area.",Hindu.
426,srb,Sora,Sora,"ସଉରା‎ (Savara), 𑃐𑃚𑃝‎ (Savara)","Sabar, Sabara, Saonras, Saora, Saura, Savara, Sawaria, Shabari, Soura, Swara",IN,India,T,T,T,410000,410000,,,"410,000 (2011 census).",,,,2011,,"Andhra Pradesh state: Srikakulam district; Assam state: Plains division; Odisha state: Ganjam, Koraput, and Phulbani districts; Bihar, Madhya Pradesh, Tamil Nadu, and West Bengal states.",Odisha,19.3344,84.4626,5,5* (Developing),,,"Austro-Asiatic, Munda, South Munda, Koraput Munda, Sora-Juray-Gorum, Sora-Juray",,,,,Also use English [eng]. Also use Sadri [sck].,Used as L2 by Juray [juy].,,,Radio. Dictionary. Bible: 1992–2004.,,,Latin script [Latn]. Oriya (Odia) script [Orya]. Sora Sompeng script [Sora]. Telugu script [Telu].,,"Hindu, Christian."
427,saz,Sourashtra,Sourashtra,சௌராட்டிர மொழி‎ (Caurāṭṭira moḻi),"Palkar, Patnuli, Saurashtra, Saurashtri, Sowrashtra",IN,India,T,T,T,248000,248000,,,"248,000 (2011 census). Each listed district has communities of at least 5,000.",,,,2011,,"Tamil Nadu state: North Arcot, Chengai-Annai, Dindugul, Madurai, Ramanathapuram, Salem, Thanjavur, Tiruchchirappalli, and Tirunelveli districts; Chennai, Deccan, Madurai, Salem, and Thanjavur cities; Andhra Pradesh and Karnataka states.",Tamil Nadu,9.986,78.2137,5,5* (Developing),,,"Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Gujarati","Southern Saurashtra, Northern Saurashtra","Indo-Aryan elements reveal Gujarati [guj] relationship; some structure from Dravidian, lexicon from Telugu [tel] and Tamil [tam]. An Indo-European island surrounded by Dravidian languages. The 3 main populations in Salem, Thanjavur, and Madurai cities had between 67% and 97% inherent intelligibility among themselves. Lexical similarity: 77%–96% between all varieties. The 3 main populations: 84%–96%. Southern dialects have 83% or higher lexical similarity with Thanjavur variety.",,"Vigorous. Home, prayer.",Also use English [eng]. Also use Tamil [tam].,,,,Literature. Radio. Dictionary. Bible: 2023.,,Sourashtra Vidya Peetam.,"Devanagari script [Deva]. Saurashtra script [Saur], a modern version developed in the late 1800s, used for centuries. Tamil script [Taml], primary usage. Telugu script [Telu].",Most are weavers; nonweavers are generally better educated. System of exogamous clans.,Hindu.
428,spt,Spiti Bhoti,Spiti Bhoti,,"Nyam, Piti Bhoti",IN,India,T,T,T,10000,10000,,,"10,000 (2000).",,,,2000,,"Himachal Pradesh state: Lahaul Spiti district, Spiti sub-district; Jammu and Kashmir state: southeast Leh district.",Himachal Pradesh,32.8038,77.8179,6b,6b (Threatened),,,"Sino-Tibetan, Tibeto-Burman, Western Tibeto-Burman, Bodish, Central Bodish, Central, Western",,"Not intelligible of Ladakhi [lbj]; low intelligibility of Stod Bhoti [sbu]. All areas of Spiti understand each other. Lexical similarity: 41% with the Lhasa Tibetan dialect of Central Tibetan [bod], 57% with Ladakhi (Leh) [lbj], 57% with Stod Bhoti [sbu] from Darcha.",,"Home, Community, Religion. Some young people, all adults.",Many also use Hindi [hin].,,"Literacy rate in L2: 65% in Hindi [hin]. Most literates read Hindi. Some older people and Buddhist monks and nuns, read Tibetan.",,Literature. Radio.,,,Tibetan script [Tibt].,,Buddhist.
429,sbu,Stod Bhoti,Stod Bhoti,,"Lahul Bhoti, Stod, Stod-Kad, Tod, Tod-Kad",IN,India,T,T,T,2500,2500,,,"2,500 (1996).",,,,1996,,"Himachal Pradesh state: Lahul region, Khoksar, upper Mayar, and Stod valleys.",Himachal Pradesh,32.5604,77.7417,6b,6b* (Threatened),,,"Sino-Tibetan, Tibeto-Burman, Western Tibeto-Burman, Bodish, Central Bodish, Central, Western","Stod (Kolong), Khoksar (Khoksar Bhoti), Mayar (Mayar Bhoti, Mayari)","85% intelligibility of Stod Bhoti by Khoksar, 75% by Mayar, 62% of Khoksar by Mayar, 95% of Khoksar by Stod Bhoti. Lexical similarity: 74% with Spiti Bhoti [spt].",,"Home, community, religion. Positive attitudes.","Many also use Hindi [hin], for trade and education. Many speak Hindi but are less proficient than those in other Lahul communities. Also use English [eng].",,Desire for literacy in Stod Bhoti.,,,,,Devanagari script [Deva]. Tibetan script [Tibt].,,Buddhist.
430,ssk,Sunam,Sunam,,"Central Kinnauri, Sangnaur, Sungam, Sungnam, Sunnam, Thebarshad, Thebor, Thebör Skadd",IN,India,T,T,T,560,560,,,560 (1998).,,,,1998,,"Himachal Pradesh state: Kinnaur district, Puh sub-district, Sunam village.",Himachal Pradesh,31.7447,78.6203,6b,6b* (Threatened),,,"Sino-Tibetan, Tibeto-Burman, Western Tibeto-Burman, Bodish, West Himalayish, Kinauri",,"Lexical similarity: 67% with Shumcho [scu], 65% with Jangshung [jna], 38% with Pahari Kinnauri [kjo] and Chitkuli Kinnauri [cik].",,,,,,,,,,Unwritten [Qaax].,,"Traditional religion, Buddhist, Hindu."
431,sgj,Surgujia,Surgujia,सरगुजिया‎ (Surgujia),"Suraji, Surguja, Surgujia-Chhattisgarhi, Surjugia",IN,India,T,T,T,1740000,1740000,,,"1,740,000 (2011 census).",,,,2011,,"Chhattisgarh state: Jashpur, Koriya, and Surguja districts; Korba and Raigarh districts’ border areas.",Chhattisgarh,23.2911,83.0246,5,5* (Developing),,,"Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Eastern, East Central",,Lexical similarity: 71%–76% with Chhattisgarhi [hne].,,Vigorous. All domains. Positive attitudes.,Also use English [eng].,,,,NT: 2017.,,,Devanagari script [Deva].,,
432,sjp,Surjapuri,Surjapuri,सुरजापुरी‎ (Surjapuri),"Deshi Bhasa, Sura, Surajpuri",IN,India,T,T,T,2260000,2260000,,,"2,260,000 (2011 census).",,,,2011,,"Bihar state: Katihar, Kishanganj, and Purnea districts; West Bengal state: Dakshin Dinajpur and Uttar Dinajpur districts.",West Bengal,25.508,84.4102,5,5 (Developing),,,"Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Eastern, Bihari",,"Reportedly very similar to Maithili [mai] (2019 N. Choudhary). Preliminary survey results show intelligibility of Nepali Rajbanshi [rjs]. Lexical similarity: 70%–74% with Hindi [hin], 67%–71% with the western variety of Kamtapuri [rkt] spoken near Dinajpur, 77%–86% with varieties of Surjapuri.",,"Vigorous. Home, village. Used by all. Positive attitudes.",Also use English [eng]. Also use Hindi [hin].,,Literacy rate in L2: Low (2006 M. Toulmin). Different scripts in Nepal and India.,,Bible portions: 2011.,,,Bengali (Bangla) script [Beng]. Devanagari script [Deva].,"Possible alternate names are Chaupal, Choupal, and Suraji, but surveyors did not find these terms used. Historically more closely related to Kamtapuri [rkt] and Rajbanshi [rjs] than Hindi [hin], a relationship borne out by greater morphological similarity. (2006 M. Toulmin).",
433,syl,Sylheti,Sylheti,"Sileti, ছিলটী‎ (Silôṭi)","Bengali of Cachar, Sileti, Siloti, Srihattia, Sylheti Bangla, Sylheti Bengali, Sylhetti, Syloti, Syloty",IN,India,F,T,T,3000000,3000000,,,"3,000,000 in India (2003).",,,,2003,"11,520,000 (as L1: 10,020,000; as L2: 1,500,000)","Assam state: Barak valley region, Cachar, Hailakandi, and Karimganj districts; Tripura state: North Tripura district; possibly Nagaland, Kolkata.",Assam,,,5,5* (Dispersed),,,"Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Eastern, Bengali-Assamese",,,,,Also use English [eng].,,Literacy rate in L2: 10%. Educated can read Bengali [ben]. Few women are educated.,,NT: 2014.,,,Bengali (Bangla) script [Beng]. Latin script [Latn]. Syloti Nagri script [Sylo].,,"Muslim, Hindu."
434,tgj,Tagin,Tagin,Tagin,"Nil, Tagen",IN,India,T,T,T,62900,62900,,,"62,900 (2011 census).",,,,2011,,Arunachal Pradesh state: upper Subansiri district.,Arunachal Pradesh,28.4537,93.7484,5,5* (Developing),,,"Sino-Tibetan, Tibeto-Burman, Central Tibeto-Burman, Tani",,Reportedly similar to Nyishi [njz].,,"Vigorous. Home, cultural activities, market. Positive attitudes.",Also use English [eng].,,,,NT: 2018.,,,Latin script [Latn].,A Scheduled Tribe.,"Traditional religion, Christian, Hindu."
435,taj,"Tamang, Eastern",Eastern Tamang,"तामाङ‎ (tāmāng), རྟ་དམག‎ (tāmāng)",Tamang,IN,India,F,F,T,20200,20200,,,"20,200 in India (2011 census).",,,"272,000 (2006 FTT).",2011,"1,271,800 (as L1: 1,200,200; as L2: 71,600)",Arunachal Pradesh state; Sikkim state: Rangit and lower Teesta valleys; West Bengal state: Darjeeling.,Sikkim,,,5,5* (Dispersed),,,"Sino-Tibetan, Tibeto-Burman, Western Tibeto-Burman, Bodish, West Bodish, Gurung-Tamang, Tamang",,,"SOV; postpositions, genitives after nouns; noun head final; no noun classes or genders; content q-word in situ; 1 prefix, up to 3 suffixes; clause constituents indicated by case-marking; ergative; aspect and tense; no passives or voice; 34 consonant and 16 vowel phonemes; CV, CVC, CCV, V, CCVC; tonal; vowel phonemes include 5 basic, 5 long, 6 diphthongs; aspiration and length are phonemic.",,,,,,Literature. Newspapers. Periodicals. Radio. TV. Videos. Dictionary. Grammar. Texts. NT: 2011.,,,"Devanagari script [Deva], primary usage. Tibetan script [Tibt], Tamhig style.",Migrate from Nepal.,
436,tam,Tamil,Tamil,தமிழ்‎ (Tamiḻ),"Damulian, Tamal, Tamalsan, Tambul, Tamili",IN,India,T,T,T,76470000,68900000,7570000,"76,470,000 in India, all users.","68,900,000 in India (2011 census).","7,570,000 (2011 census).",,,2011,"86,343,740 (as L1: 78,720,740; as L2: 7,623,000)","Andhra Pradesh state: Chittoor and Sri Potti Sriramulu Nellore districts, east Puducherry enclaves; Karnataka state: Chamarajana district; Kerala state: south; assorted border areas; Tamil Nadu state.",Tamil Nadu,8.868,80.6245,2,2 (Provincial),"Statutory provincial language in Tamil Nadu State; union territories Puducherry, Andaman and Nicobar Islands (1950, Constitution, Schedule VIII).",,"Dravidian, Southern, Tamil-Kannada, Tamil-Kodagu, Tamil-Malayalam, Tamil","Adi Dravida, Aiyar, Aiyangar, Arava, Burgandi, Kongar, Madrasi, Madurai, Tamil, Sri Lanka Tamil, Malaya Tamil, Burma Tamil, South Africa Tamil, Tigalu, Harijan, Sanketi, Hebbar, Mandyam Brahmin, Secunderabad Brahmin",Burgandi are nomadic. Aiyar and Aiyangar are Brahmin dialects. Southern dialect around Madurai is literary standard. Eastern dialect is colloquial standard (Zvelebil 1998). Sanketi dialect in Karnataka used by immigrants from Madurai and Shenkotta in Tamil Nadu. Lexicon greatly influenced by Kannada.,"SOV; postpositions; gender (rational, non-rational); no articles; case-marking (8 cases); verb affixes mark person, number, gender of subject; passives (affective, effective); tense; no comparatives; 18 consonants, 10 vowels and 2 diphthongs; non-tonal; stress on first syllable; inclusive/exclusive pronouns.",,All also use Kannada [kan] (Gowda 1976).,"Used as L2 by Alu Kurumba [xua], Attapady Kurumba [pkr], Eravallan [era], Irula [iru], Jennu Kurumba [xuj], Kadar [kej], Kanikkaran [kev], Kannada Kurumba [kfi], Kota [kfe], Malankuravan [mjo], Malapandaram [mjp], Malasar [ymr], Moundadan Chetti [cty], Muthuvan [muv], Paliyan [pcf], Paniya [pcg], Sourashtra [saz], Toda [tcx], Vaagri Booli [vaa].",,Taught in primary and secondary schools in Tamil Nadu state.,Fully developed. Bible: 1727–2002.,,,"Arabic script, Naskh variant [Arab], no longer in use. Braille script [Brai]. Tamil script [Taml], primary usage.",A Classical Language of India since 2004.,"Hindu, Muslim."
